PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,GP,W,L,MIN,MIN1,DIST_FEET,DIST_MILES,DIST_MILES_OFF,DIST_MILES_DEF,AVG_SPEED,AVG_SPEED_OFF,AVG_SPEED_DEF,SEASON,PT_MEASURE_TYPE,TEAM_NAME
201143,Al Horford,1610612737,ATL,29,16,13,33.0,33.0,11807.1,2.2,1.2,1.1,4.08,4.43,3.78,2013-14,SpeedDistance,Atlanta Hawks
201858,Cartier Martin,1610612737,ATL,53,24,29,15.5,15.5,5895.0,1.1,0.6,0.5,4.36,4.7,4.04,2013-14,SpeedDistance,Atlanta Hawks
201960,DeMarre Carroll,1610612737,ATL,73,37,36,32.1,32.1,11579.7,2.2,1.1,1.1,4.11,4.23,3.99,2013-14,SpeedDistance,Atlanta Hawks
203471,Dennis Schröder,1610612737,ATL,48,21,27,13.0,13.0,5160.1,1.0,0.5,0.5,4.53,4.91,4.16,2013-14,SpeedDistance,Atlanta Hawks
202354,Dexter Pittman,1610612737,ATL,2,0,2,1.5,1.5,421.0,0.1,0.0,0.0,4.27,5.07,3.7,2013-14,SpeedDistance,Atlanta Hawks
1882,Elton Brand,1610612737,ATL,72,34,38,19.3,19.3,6721.8,1.3,0.7,0.6,3.96,4.16,3.76,2013-14,SpeedDistance,Atlanta Hawks
202970,Gustavo Ayon,1610612737,ATL,25,12,13,16.8,16.8,6349.7,1.2,0.6,0.6,4.29,4.74,3.88,2013-14,SpeedDistance,Atlanta Hawks
203263,James Nunnally,1610612737,ATL,3,2,1,15.4,15.4,5912.7,1.1,0.6,0.5,4.42,4.53,4.06,2013-14,SpeedDistance,Atlanta Hawks
203099,Jared Cunningham,1610612737,ATL,5,3,2,4.4,4.4,1606.4,0.3,0.2,0.2,4.1,4.37,4.38,2013-14,SpeedDistance,Atlanta Hawks
201952,Jeff Teague,1610612737,ATL,78,37,41,32.2,32.2,11089.2,2.1,1.2,0.9,3.92,4.37,3.49,2013-14,SpeedDistance,Atlanta Hawks
203098,John Jenkins,1610612737,ATL,13,6,7,12.1,12.1,4740.9,0.9,0.5,0.4,4.46,4.98,4.01,2013-14,SpeedDistance,Atlanta Hawks
2594,Kyle Korver,1610612737,ATL,70,37,33,34.0,34.0,13040.5,2.5,1.3,1.1,4.37,4.77,3.98,2013-14,SpeedDistance,Atlanta Hawks
101150,Lou Williams,1610612737,ATL,59,26,33,24.1,24.1,8347.5,1.6,0.9,0.7,3.95,4.35,3.57,2013-14,SpeedDistance,Atlanta Hawks
203488,Mike Muscala,1610612737,ATL,20,10,10,10.7,10.7,4314.9,0.8,0.4,0.4,4.56,4.8,4.32,2013-14,SpeedDistance,Atlanta Hawks
203118,Mike Scott,1610612737,ATL,79,36,43,18.4,18.4,7078.1,1.3,0.7,0.6,4.38,4.88,3.91,2013-14,SpeedDistance,Atlanta Hawks
200794,Paul Millsap,1610612737,ATL,73,36,37,33.6,33.6,12281.5,2.3,1.2,1.1,4.17,4.51,3.83,2013-14,SpeedDistance,Atlanta Hawks
203544,Pero Antic,1610612737,ATL,49,23,26,18.4,18.4,6737.6,1.3,0.7,0.6,4.17,4.47,3.87,2013-14,SpeedDistance,Atlanta Hawks
202714,Shelvin Mack,1610612737,ATL,72,33,39,20.4,20.4,8212.7,1.6,0.8,0.7,4.59,5.09,4.11,2013-14,SpeedDistance,Atlanta Hawks
202340,Avery Bradley,1610612738,BOS,60,19,41,30.9,30.9,11939.9,2.3,1.2,1.1,4.39,4.58,4.2,2013-14,SpeedDistance,Boston Celtics
101138,Brandon Bass,1610612738,BOS,82,25,57,27.6,27.6,9811.6,1.9,1.0,0.9,4.04,4.23,3.84,2013-14,SpeedDistance,Boston Celtics
203569,Chris Babb,1610612738,BOS,14,3,11,9.5,9.5,3602.1,0.7,0.4,0.3,4.36,4.64,4.0,2013-14,SpeedDistance,Boston Celtics
203187,Chris Johnson,1610612738,BOS,40,11,29,19.7,19.7,8085.9,1.5,0.8,0.7,4.67,5.08,4.27,2013-14,SpeedDistance,Boston Celtics
201584,Courtney Lee,1610612738,BOS,30,12,18,16.8,16.8,6403.4,1.2,0.6,0.6,4.35,4.63,4.06,2013-14,SpeedDistance,Boston Celtics
2222,Gerald Wallace,1610612738,BOS,58,19,39,24.4,24.4,8685.2,1.6,0.9,0.8,4.05,4.25,3.84,2013-14,SpeedDistance,Boston Celtics
203096,Jared Sullinger,1610612738,BOS,74,23,51,27.6,27.6,9585.8,1.8,1.0,0.9,3.95,4.14,3.77,2013-14,SpeedDistance,Boston Celtics
201145,Jeff Green,1610612738,BOS,82,25,57,34.2,34.2,12092.8,2.3,1.2,1.0,4.02,4.3,3.74,2013-14,SpeedDistance,Boston Celtics
201573,Jerryd Bayless,1610612738,BOS,41,10,31,25.3,25.3,8982.2,1.7,0.9,0.8,4.04,4.32,3.76,2013-14,SpeedDistance,Boston Celtics
201202,Joel Anthony,1610612738,BOS,21,5,16,7.1,7.1,2795.8,0.5,0.3,0.2,4.49,4.79,4.18,2013-14,SpeedDistance,Boston Celtics
202348,Jordan Crawford,1610612738,BOS,39,13,26,30.7,30.7,10873.5,2.1,1.1,0.9,4.03,4.38,3.66,2013-14,SpeedDistance,Boston Celtics
2586,Keith Bogans,1610612738,BOS,6,1,5,9.2,9.2,3178.0,0.6,0.3,0.3,3.89,3.75,4.06,2013-14,SpeedDistance,Boston Celtics
203482,Kelly Olynyk,1610612738,BOS,70,18,52,20.0,20.0,7665.3,1.5,0.8,0.7,4.36,4.74,3.99,2013-14,SpeedDistance,Boston Celtics
2743,Kris Humphries,1610612738,BOS,69,22,47,19.9,19.9,7360.0,1.4,0.8,0.6,4.2,4.49,3.91,2013-14,SpeedDistance,Boston Celtics
202705,MarShon Brooks,1610612738,BOS,10,2,8,7.3,7.3,2785.4,0.5,0.3,0.2,4.34,4.6,4.09,2013-14,SpeedDistance,Boston Celtics
203515,Phil Pressey,1610612738,BOS,75,23,52,15.1,15.1,5789.9,1.1,0.6,0.5,4.36,4.65,4.08,2013-14,SpeedDistance,Boston Celtics
200765,Rajon Rondo,1610612738,BOS,30,6,24,33.3,33.3,11561.0,2.2,1.2,1.0,3.95,4.24,3.65,2013-14,SpeedDistance,Boston Celtics
203505,Vander Blue,1610612738,BOS,3,1,2,4.9,4.9,1809.3,0.3,0.2,0.2,4.09,4.6,3.69,2013-14,SpeedDistance,Boston Celtics
203543,Vitor Faverani,1610612738,BOS,37,13,24,13.2,13.2,4808.9,0.9,0.5,0.4,4.15,4.35,3.95,2013-14,SpeedDistance,Boston Celtics
101187,Alan Anderson,1610612751,BKN,77,42,35,22.7,22.7,8032.8,1.5,0.8,0.7,4.04,4.1,3.99,2013-14,SpeedDistance,Brooklyn Nets
101154,Andray Blatche,1610612751,BKN,72,39,33,22.1,22.1,7588.0,1.4,0.8,0.7,3.94,4.07,3.79,2013-14,SpeedDistance,Brooklyn Nets
